beta	Sample#	S&P	Bond	Small Cap	Value-at-Risk	VaR Dif(%)	Cond VaR	CVaR Dif(%)
0.9	1000	0.62476 0.04917 0.32606	         0.06910	1.85	         0.09756	0.60
0.9	3000	0.45822 0.11319 0.42860	         0.06968	2.70	         0.09700	0.03
0.9	5000	0.40932 0.13198 0.45870	         0.06704	-1.19	         0.09799	1.04
0.9	10000	0.42474 0.12606 0.44921	         0.06892	1.58	         0.09868	1.76
0.9	20000	0.44981 0.11642 0.43377	         0.06800	0.22	         0.09680	-0.18
0.95	1000	0.59578 0.06031 0.34390	         0.08912	-1.19	         0.11620	0.25
0.95	3000	0.43811 0.12092 0.44097	         0.08910	-1.22	         0.11613	0.19
0.95	5000	0.37799 0.14402 0.47799	         0.09099	0.87	         0.11823	2.00
0.95	10000	0.38920 0.13971 0.47108	         0.09260	2.66	         0.11766	1.51
0.95	20000	0.46776 0.10952 0.42272	         0.08992	-0.31	         0.11564	-0.23
0.99	1000	0.53253 0.08463 0.38285	         0.13936	5.47	         0.15257	-0.26
0.99	3000	0.51356 0.09192 0.39452	         0.13209	-0.03	         0.15502	1.34
0.99	5000	0.24360 0.19568 0.56072	         0.13576	2.75	         0.15844	3.57
0.99	10000	0.48861 0.10150 0.40988	         0.13296	0.63	         0.15469	1.12
0.99	20000	0.42892 0.12445 0.44663	         0.13423	1.59	         0.15576	1.82
Total time: 108.09039902687073
