beta	Sample#	S&P	Bond	Small Cap	Value-at-Risk	VaR Dif(%)	Cond VaR	CVaR Dif(%)
0.9	1000	0.19313 0.21485 0.59201	0.07144	     5.30	     0.09943	2.53
0.9	3000	0.19309 0.21258 0.59433	0.07545	     11.21	     0.09887	1.95
0.9	5000	0.19265 0.21526 0.59209	0.06362	     -6.22	     0.09906	2.15
0.9	10000	0.19295 0.21515 0.59190	0.07075	     4.28	     0.09946	2.56
0.9	20000	0.19318 0.21506 0.59176	0.07145	     5.31	     0.09782	0.87
0.95	1000	0.18784 0.21711 0.59505	0.09573	     6.13	     0.11908	2.74
0.95	3000	0.18832 0.21693 0.59475	0.10071	     11.65	     0.11850	2.23
0.95	5000	0.18827 0.21695 0.59478	0.10229	     13.41	     0.12053	3.98
0.95	10000	0.18891 0.21670 0.59439	0.10257	     13.71	     0.11966	3.24
0.95	20000	0.18820 0.21697 0.59483	0.08422	     -6.63	     0.11769	1.54
0.99	1000	0.18278 0.21906 0.59816	0.59335	     349.07	     0.59335	287.87
0.99	3000	0.18430 0.21847 0.59723	0.58546	     343.10	     0.58546	282.71
0.99	5000	0.18312 0.21892 0.59795	0.56729	     329.35	     0.56729	270.83
0.99	10000	0.18251 0.21916 0.59833	0.57338	     333.96	     0.57338	274.81
0.99	20000	0.18312 0.21893 0.59796	0.57528	     335.39	     0.57528	276.06
Total time: 128.01848697662354
