beta	Sample#	S&P	Bond	Small Cap	Value-at-Risk	VaR Dif(%)	Cond VaR	CVaR Dif(%)
0.9	1000	0.28453 0.17743 0.53804	0.06420	     -5.37	     0.09997	3.09
0.9	3000	0.27846 0.18209 0.53945	0.07003	     3.22	     0.09762	0.66
0.9	5000	0.28123 0.17876 0.54001	0.07043	     3.80	     0.09867	1.75
0.9	10000	0.28044 0.17994 0.53962	0.06668	     -1.72	     0.09929	2.39
0.9	20000	0.28091 0.18133 0.53775	0.05817	     -14.27	     0.09879	1.87
0.95	1000	0.28496 0.17647 0.53857	0.09299	     3.09	     0.11846	2.20
0.95	3000	0.27975 0.18014 0.54011	0.08709	     -3.45	     0.11701	0.95
0.95	5000	0.28006 0.17995 0.53998	0.08094	     -10.27	     0.12032	3.81
0.95	10000	0.27907 0.18018 0.54075	0.09056	     0.40	     0.11832	2.08
0.95	20000	0.28042 0.18153 0.53805	0.10413	     15.44	     0.11944	3.05
0.99	1000	0.28232 0.17763 0.54005	0.13321	     0.82	     0.15481	1.20
0.99	3000	0.28183 0.17772 0.54045	0.13488	     2.08	     0.15711	2.70
0.99	5000	0.26968 0.18556 0.54475	0.13590	     2.85	     0.15848	3.60
0.99	10000	0.27826 0.18038 0.54136	0.13739	     3.98	     0.15616	2.08
0.99	20000	0.27895 0.17960 0.54145	0.13519	     2.32	     0.15674	2.46
Total time: 214.52574491500854
